id,CandidatePreference ,PrimeResponse,Scorer 1_AngerExpressed,Scorer1_FearExpressed,Scorer 2_AngerExpressed,Scorer2_FearExpressed
45330,1,"If Trump wins I would be most angry about his approach to unite the nation. I think he has done an absolutely terrible job uniting the citizens of this country. Now more than ever, there is so much division, so much crime, so much hate. If Trump wins, not only are we destroying the reputation of the United States, but we are also destroying the future lives of the next generation. We will reach an absolute low because he does not fit the requirements of a world leader. ",,,,
44697,1,"If Donald Trump wins I would be angry because Republicans and more specifically conservatives would be in much more power and grossly overrepresented in government. It would make me angry that the people in government would easily be able to abuse their power and make decisions that benefit them and their ideologies that don't represent the majority of Americans. It would make me angry that Americans are willing to endorse a person with so much hate in them and who takes no accountability for any of their actions. As a person who is a woman, is part of the LGBTQ, is Hispanic and Jewish, I fear for my rights, my friends rights, and the large spike in hate crimes that have been fueled over the past several years. In all honesty, I would be more terrified than angry. ",,,,
45372,1,"It's not what legislation he would pass or his political agenda that scare me, it's his rhetoric. He uses it to incite tensions and split the country, to make it so divided that the side he represents has to see him as their figurehead, even when they don't all agree with his ideas. Political intolerance on both sides seems to be increasing rampantly. 
Furthermore, Trump's oversimplification of nuanced, important topics is so extensively ""simple"" that it degrades from the importance of the issues themselves, a dangerous ability for anyone in power to use.",,,,
42575,1,"I am extremely concerned that we will never get out of the pandemic. I actually believe it will become more of an epidemic where it only affects the US and the rest of the world has eradicated it. I also am afraid that race relations will become worse since he has yet to denounce white supremacy. He goes against so many fundamental American values, like freedom and liberty. He is unift to be a president and he has been impeached which does not indicate he is doing his job all that well.",,,,
44200,1,"The fact that he is racist, sexist, and homophobic can do a lot of harm to the country. Even now, when the pandemic is a very huge risk to the country, he is still downplaying it; even after contracting the virus himself. And people who blindly follow him would thus ignore all the risks associated with covid, impacting the health of other people in the country. Also, the fact that he was trying to sabotage voting by mail, is just wrong. ",,,,
45261,4,,,,,
44390,1,"Almost everything that Trump does makes me angry, but I have always hated his blatant disrespect towards almost everyone that isn't a white man. I'm terrified now that RBG is gone and fear for my reproductive rights as a woman, I'm scared that on a number of occasions he has refused to denounce white supremacy, I'm scared that his SCOTUS pick wants to overturn Roe V. Wade and take further rights away from LGBTQ+ individuals, and I am angry that the United States ever gave him the chance to fuck up as bad as he has. Whether or not others agree with me, he is one of the most foul human beings on this Earth, and we let him run this country for four years and absolutely mock and destroy many of the things the United States stand for. He is a shameful creature that would've likely been killed by the virus he let infiltrate and shut down our country had he not had access to presidential level healthcare. In addition, the 'miracle drug' he took to fight his COVID infection was made with stem cells from a fetus, while a large amount of his supporters and pro-lifers. He is a conman, a disgrace, and probably the worst president in our history.",,,,
44954,1,"There are many things that would make me angry about Donald Trump winning the election so it would be hard for me to pick just one. I guess the thing that would make me the most angry would be having to listen to him talk, and listening to the way some people support him no matter what he says. Donald Trump has said some of the most racist, sexist, and straight up disgusting things I have heard in my entire life from any person, especially a man in power of our country. From the way he has talked about how he can grab any women and have relations with them just because he is a man in power (whether they consent or not) to the way he discredits other women by calling them unintelligent or crazy, it is so frustrating to hear as a young woman in this country. The only thing more frustrating than hearing our President say these things about women, is hearing the people in my life, whether it be family, friends, or strangers, AGREE with his moral standings. It's not just about women though, for Donald Trump has also said horrible things about immigrants from Mexico, and black people, especially recently during the protests for Black Lives Matter. If that isn't bad enough, Trump has mocked people with disabilities and mental illnesses such as addiction in front of live crowds. I think the President and I do not agree on one thing in terms of our moral standings. Therefore, even though it is a vague answer hearing Donald Trump talk for the next 4 years would be very frustrating for me, especially when I have to hear people around me agree with him. ",,,,
45415,1,"There are many things to be afraid of if Donald Trump wins this election. I think that peoples' basic human rights are at stake right now.  If Donald Trump were to win this election, and the Republican Party took control of Congress, they could roll back on LGBTQ+ peoples' rights to marry, they could take away the right to free healthcare for people in poverty, and abortion could become illegal nationwide, which would just cause more unsafe abortions and cause more death.  In addition, if Trump were to win, there would be no change in the laws regarding the police system, which systematically oppresses minorities and people of color, many families at the border who are seeking a better life will continue to be separated and abused, and there continue to be relatively easy access to automatic weapons, which leads to even more gun violence across the nation.  The very aspect of freedom and safety is in jeopardy if Donald Trump is reelected",,,,
42919,1,"There are a lot of things I'm afraid of if that moron wins another term. We've completely lost are trust with our foreign allies in both Europe and the Middle East, we've squandered the historic Iran Deal, the booming economy handed to Trump by Obama was absolutely destroyed by his complete mishandling of the COVID-19 pandemic, tensions between the black community and police is worsening, Trump is constantly and unfoundedly questioning both science and the integrity of our elections, and environmental regulations will continue to be removed under another term. I think the future of the environmental is the most existential problem we'll be facing in the near future, so I think that's the most important.

Please vote. Another Trump presidency will make our environmental problem completely insurmountable.",,,,
43404,1,"I would be very angry about many things what I might be most angry about is his stance on immigration and treatment of immigrants. He has separated hundreds/thousands of families and forced children to live in cages. He has spread hate across our country when really immigrants and migrant workers are exploited for cheap labor and capitalism is dependent upon them. He has no regard for the wellbeing of others and zero empathy or understanding of how capitalism and america as a whole has destroyed the economies of other countries and forced people to move from their towns and villages so that they can survive and give their children the opportunity at a different life. He takes the humanity out of groups of people and only creates division, hate, and fear in our country. ",,,,
45431,1,"As a Jewish, bisexual woman it is absolutely terrifying to me that there is a possibility that the United States government would be lead by Donald Trump again. He represents a party that's GOP quite literally states they want to abolish marriage and discrimination protections for members of the LGBTQ+ community. As a member of this community, that terrifies me because I may not be able to marry who I want someday or be able to hold a job once my employer discovers my sexuality because of who is President now. As a woman, it terrifies me to have a misogynist in office because he is reinforcing the behavior and telling other like-minded individuals that is okay to behave the way he does, while he demonstrates little to no respect for women. As a member of a minority religion who is often the target for hate crimes his response in the first presidential debate was terrifying, ""Proud Boys, stand by, and stand back."" The leader of this white-supremacist organization is hateful to everyone not cis-het white christians, so my livelihood as a member of my religious community is at stake, and has been since every synagogue shooting ever emerged on the news. 
My safety at school is always a thought of mine as republicans in office try to demonize democratic representatives who want to reform gun control laws, as school shootings are still on the rise in America. The only reason why we haven't had such high numbers of school shootings this year is because there were no open schools due to the President's idiotic way of handling the Covid-19 virus. He is a danger to the country, and should he be reelected I fear for the safety of myself and any other minority citizen in America.",,,,
41893,2,I believe that if Joe Biden wins the election I feel like people who currently own a certain amount of money will lose quite a large amount of assets they own. And I believe that assets would most likely be spent to the people who are in need. I believe that people who are in need do need help but it should not be coming from the people who own possession. This unfair distribution would make me angry. ,,,,
41887,1,"He is not aware of his own wrong doings. He thinks he is the best president America has had whereas it is the quite opposite. It would be safe to say that he is using his position for his own personal benefit and that's the last thing expected from someone who is 'responsible' for a country. I am afraid about a lot of things if he gets reelected, it is the climate, the country's poor, minorities, immigrants, students, health care and the world at large that I'm concerned about. He wants to send back all the immigrants who have been living in America for so long and has already made plans to seperate immigrant children born in the US from their parents, which is so so cruel. In my opinion, immigrants only enhance the country as they do jobs that Americans aren't qualified/capable enough to. They also work extremely hard and save lives in hospitals as doctors and enhance the technology industry, working in the silicon valley.",,,,
45354,4,,,,,
44035,1,"It's hard to write a worst-case-scenario while still staying realistic but here goes. Let's say Trump continues to marginalize LGBTQ and minorities, refusing to acknowledge their significance and the hardships they're enduring. Let's also say that Trump refuses to acknowledge the ever-increasing threat of climate change and in fact, asserts the efforts being done to offset our carbon emissions are continuing to progress the problem. Let's also say that Trump denies the responsibility he's had in preventing the deaths of over 200,000 American deaths due to Covid-19, and continues to denies his faults despite how many Americans die. Lets say that, in general, Trump continues to put his own interests at heart in every regard, and supporters still idolize him as a heroic and noble leader.",,,,
45310,1,"If Donald Trump wins the election he is going to take away the right to homosexual marriage and that is unbelievable unfair because they fought very hard for their right for marriage and now he wants to take that away. He also is racist and is not going to help the movement for BLM. Another thing that Donald Trump will do if he wins the election is probably to cause another war. He isn't helping the situation we have with other countries and is making our relationship very hostile. Another thing that would make me angry is the fact that he wants to change the age that kids will be taken off their parent's insurance. As someone in college if he lowers the age I would have to pay for my own insurance and obviously since I am still in school I do not make that much even though I work part-time. Some students can't work during school because they can't concentrate enough and need to do school full time. By taking this away it would make my parents have to pay for two insurance bills, which are often expensive and we would be more broke than we already are. ",,,,
45270,1,Minorities and immigrants will continue to get the improper treatment they are getting today. The economy will continue to get worse. COVID will never be solved. The world will continue to be filled with hate. Those 525 children will never find their parents. The government will continue to be corrupted. All lives lost due to the unjust system will never get JUSTICE.,,,,
45423,1,"The one thing that would make me the most afraid is the inequalities and discrimination that continues to build under his administration. Over the last four years, this country has seen a larger divide than any of the other recent administrations. Personally, as a member of the LGBT+ community, I am most afraid of the changes that will directly affect me. These changes could include the revocation of gay marriage, changes to healthcare, and the ability to adopt children. As a hard-working member of this society, I don't believe the specified 'gender' that I love has any bearing on how I, or anyone else for that matter, deserves to be treated in any capacity, let alone in a legal sense. I can only imagine the fear I would be enveloped in if I were not a cis-gendered white man, as in this position I still, unfortunately, hold a lot of privilege in our current society. This is not something that I am proud of, as for me to be privileged based off of my physical appearance means that others must detriment from theirs, which is simply unfair.",,,,
43392,1,"I am afraid that white nationalists and fascists will continue to wreak havoc in society, unabated by the government or police. I am worried that these groups, and all others who push for civil war, will be successful in starting one, and that people I know might be hurt in the resulting unrest. Even if they're not hurt by the civil war itself, I worry that the collapse of the state will leave them unable to access food, medication, or other vital supplies. ",,,,
45419,4,,,,,
43488,1,"I would be most angry with the current state of Covid 19 and Trump. I think the racial injustice and discrimination throughout the country are incredibly terrible but personally, I think covid is a more pressing matter at this time because thousands of people are dying and Trump is only making it worse. 
I think right now the world is falling apart and the US is doing the worst job at controlling the virus, I think if Trump is elected there is little to no hope that America will be out of this within the next 4 years. Trump will continuously lie to the American people and unfortunately, there are many American people that will believe everything he says. If he were to follow the science and suggested actions to be taken then we wouldn't be in the mess we are and hundreds of thousands of Americans would be alive and well. I think America is doomed if Trump is elected and I couldn't feel anymore passionate about this topic. 
It is incredibly hard to pick one detail that would make me most angry but if I had to pick it would have to be the health and safety of every American currently. ",,,,
44723,1,"Donald Trump doesn't care about the state of the world specifically the problem of climate change one bit. Very soon, the Earth will reach the point of no return and there will be nothing we can do to save it. If we act soon, we may be able to turn things around and give future generations a place to live. However, with Donald Trump as president for a second term, there is no chance of that happening. Climate change will be irreversible and will have detrimental damage on the world. If we want the future generations to have a place to live, Donald Trump can absolutely not win the election this year. As we have already seen with current forest fires, the earth will literally burn and there will be no habitable land left.",,,,
42670,4,,,,,
41928,1,"I do not care much for politics, I do not understand a lot of it, but I really do not like Donald Trump. I was horrified after hearing about the way he conducted himself in the first presidential debate against Biden. He disrespected Biden and constantly talked over him and the monitor asking the questions. He avoids the questions, lies, and didn't answer them which doesn't make him very trust worthy at all. I was disgusted by the way he attacked bidders family and disrespected his sons for no reason. That had nothing to do with politics that was just a personal jab in attempt to make him look bad. Biden's sons aren't running for president that should have nothing to do with the election. Trump is disrespectful of minorities, pro people, women, and people of color. He is an unlikeable person and I am scared of him personally I would not want to meet him. I haven't seen him do a single good/positive thing since he became president. I do not like him as a person and I hope that he doesn't get reelected because the majority of people won't benefit if he does. Trump should not have become president",,,,
45300,1,"Donald Trump is a racist, a transphobe, a sexist, and a fascist. He has dozens of sexual assault allegations, he doesn't pay his taxes, and he should be in prison. If I were a manager, I would not hire him for any position, yet he is somehow still President of the United States. He is also supremely unintelligent and listening to him try to string a sentence together is painful. I do not understand how anyone has any respect for him, especially after four years if incompetency and unfulfilled promises. He is personally responsible for the deaths of hundreds of thousands of Americans due to Covid-19, because of his failure of a response to the pandemic.  He purposefully downplayed the pandemic and refused to listen to science or those who are experts in the field, and ended up costing the country a price we should not have had to pay, in both deaths  and money.",,,,
43352,1,"One thing I am afraid about in the future if Donald trump wins is that equality between all races, genders, sexual orientation, etc will still not be equal if he continues to be the president for 4 more years. I do not think we will get closer to equality for all if he wins the 2020 election.",,,,
44203,1,"If Donald Trump wins the election, I would be most angry about the fact that COVID-19 will continue to spiral out of control. This virus is the root of my problems, as it keeps me from attending university in-person, it keeps my autistic sibling from working, and it keeps me from seeing my friends. It is also the root of much societal unrest, as the economy and people's livelihoods are suffering. ",,,,
45506,4,,,,,
45281,1,"Donald Trump is very biased, ignorant, and too proud to admit he is wrong. Also, with everything that is going on with COVID, he is giving an impression to his followers that COVID is not a big deal. This created situations where people are going against the law of mandated mask. Because of this, people are spreading COVID, the cases are spiking again and more people are going to die. He is not taking COVID seriously as he should, he tries to play it off as if he can handle it, however, the United States is slowing taken over by COVID. Second of all, he favors the rich, he himself does not even pay taxes. With Donald Trump, the rich will still be rich and the poor will stay poor. ",,,,
45547,1,"I am most afraid about racial equality and peace in America if Donald Trump were to win the election.  He is racist and he only encourages white supremacy in our country.  His comment in the first presidential debate telling the Proud Boys, a white supremacist group, to stand back and stand by is scary because they took this comment as an endorsement and approval of their hateful and discriminatory views towards minorities.  Additionally, Donald Trump has shown to not support the Black Lives Matter movement, and tries to create fear about the peaceful protests against police brutality in this country.  He has said that ""there are fine people on both sides"" of this issue, which is telling white supremacists that he supports their views and is telling people who support the BLM movement that he does not fully support them in their struggle to find equality and justice in America.",,,,
45218,1,"If trump wins, I am most afriad of how he is reversing every legislation that has moved our country forward - including laws preventing climate change and accomplishments socially. Trump will, without a doubt, reverse any progress made in this country. Abortions will no longer be permitted. there will be children who will be raped and get pregnant but denied an abortion. The country will not make be favorable or supportive of the majority of human beings. the 1% will thrive per usual while everyone else suffers and we are forced back into 1900s legislation due to trump's conservatism",,,,
45340,1,"The horrible fact that Donald Trump will continue slashing environmental regulations, writing policy to benefit his network of rich cronies, and utterly dismissing all scientific proof of the climate crisis. The time to make rapid, system-wide changes in response to climate change is NOW, and the very thought of another four years of Trump doing nothing for the people's best interest is INFURIATING.",,,,
44461,4,,,,,
45358,1,My reproductive rights as a young woman. I am worried about losing the rights to my own body because of the choices a man makes. I am assuming I will not be able to make my own choices for my own body.,,,,
44535,1,"Over 100,000 people have died already from COVID-19. They died unnecessarily. They very well could still be alive today, but Trump knowingly played down the virus and promoted stupid, ridiculous behavior that hastened the spread of the virus in America. In a future where Trump wins, I'm scared I may lose my family while I am across the country. Being from California, my parents and younger sibling live where I am from, while my brother and I are in Massachusetts. I am afraid that the virus will continue to not be taken seriously by the one that is supposed to be the country's leader and that I will lose my family to it. I am also afraid of losing my family to racism and xenophobia. Both of my parents are immigrants from Mexico, and Trump's opinions on Mexico have been crystal clear. Trump has fervently argued that he is not racist, but we know that he is and I fear for my parents and younger sibling. I am afraid my parents will be deported and that my younger sibling will be left alone 3,000 miles from my brother and I. I feel unsafe in this America as a woman of color because the racist tendencies of this country have stepped boldly into the spotlight.",,,,
43578,2,"Joe Biden’s policy is different from that of D. Trump. Though Trump frequently did stupid things like judging on something he did not know completely; he also had weak control over COVID 19, which made him responsible for the death of American citizens of coronavirus. However, his utilitarianism is always good to US citizens. Biden’s policy is less radical and more environmentally friendly, yet Biden’s policy will gain no profits for American people.",,,,
45239,1,"What would make me angry is the country is struggling right now with so many issues due to the failure of Trump as our president, and it would get considerably worse if he was re-elected. He has no respect for any person who has a differing background than himself.",,,,
45326,2,I am worried about the government under Biden going against the constitution in particular the second amendment because I feel that the right to bear arms allows people to keep their rights from being taken away from them by the government and also it allows people to protect themselves from criminals who's intention is to do harm to people who are defenseless. I also think that the more law-abiding people who have guns the faster bad guys with guns will be stopped. I think if the Biden administration infringed upon this right there would be negative consequences and more rights could be taken away and/or more people will be harmed by criminals.,,,,
